Firma;Niederlassungen;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web
KIWI-CONSULTING;1;12;7;2024-10-25;18589880.0;9294940.0;1;Weinsberg;74189;cornelia.baric@kiwi-consulting.de;
CUBESERV;1;12;7;2025-08-27;18400000.0;9200000.0;0;Raunheim;65479;vertrieb_de@cubeserv.com;
DYNACON;1;12;1;2026-06-15;18037725.0;842341.0;0;München;81675;max.ewert@dynacon.de;
IQUL;3;12;6;2026-06-23;18024763.0;1103927.0;0;Bergisch Gladbach;51429;sales@iqul.de;https://www.iqul.com/de/
OMNINET;3;12;5;2025-10-06;14666470.0;3316080.0;0;Eckental;90542;crm@omninet.de;
TELETECH-NET;1;12;5;2024-07-08;13079593.0;185965.0;0;Zossen;15806;info@teletech-net.de;
NECT;1;12;7;2026-05-18;11376200.0;3125000.0;0;Hamburg;20457;hello@nect.com;https://nect.com/
GEVAS;3;12;7;2025-12-18;9794866.0;781200.0;1;München;80335;kunde@gevas.de;https://www.gevas.eu
BENTS;1;12;9;2026-05-22;8774930.0;738597.0;1;Ihlow-Riepe;26632;pomausschreibung@bents.com;
IN4MD-SERVICE;1;12;7;2026-03-24;8314000.0;250200.0;0;Magdeburg;39104;vergabe@in4md-service.de;https://www.in4md-service.de
INDIBIT;1;12;4;2025-12-16;7675441.0;1164449.0;0;Bayreuth;95444;kontakt@indibit.eu;
CRONOS;3;12;7;2026-02-20;7300752.0;7300752.0;4;Münster;48155;d.kawczynski@cronos.de;http://cronos.de
DSLMOBIL;1;12;3;2026-06-02;6264097.0;1127789.0;0;Asbach-Bäumenheim;86663;matthias.korber@dslmobil.de;http://www.dslmobil.de
HAUPT-IT-SYSTEMS;1;12;5;2024-11-25;6219224.0;538475.0;0;Dresden;01109;webmaster@haupt-it-systems.de;
GBTEC;5;12;6;2026-06-02;6165474.0;495000.0;0;Bochum;44801;benedikt.siebrecht@gbtec.de;http://gbtec.de
SWARCO;2;12;6;2025-12-19;6088287.0;415396.0;0;Trier;54294;pv@swarco.de;
MCL;1;12;6;2023-01-05;5994822.0;180456.0;0;Böblingen;71034;grit.ludewig@mcl.de;
Vitos gGmbH für Vitos Haina gGmbH;1;12;4;2026-06-23;5828385.0;1600000.0;0;Berlin;10829;info@telecomputer.de;http://www.telecomputer.de
PRODATO;3;12;4;2025-09-08;5125620.0;953190.0;1;Nürnberg;90427;johannes.held@prodato.de;http://www.prodato.de
GREENIT;4;12;8;2025-10-27;4843488.0;2421744.0;0;Dortmund;44227;d.wessels@greenit.systems;http://www.greenit-dortmund.de
Seventythree Networks GmbH;1;12;6;2024-04-24;4752855.0;265500.0;0;Puchheim;82178;Vertrieb@73s.de;
CONSULTING4IT;1;12;8;2025-07-24;4611675.0;290447.0;0;Waldbronn;76337;patrick.hild@consulting4it.de;
Buscher GmbH;1;12;8;2025-04-08;3891353.0;328845.0;0;Bielefeld;33609;buescher@buescher.de;http://www.buescher.de
XANTARO;1;12;6;2025-10-23;3628178.0;411408.0;0;München;80687;omg@xantaro.net;
EOMI;3;12;2;2025-12-01;2858247.0;315010.0;0;Hamburg;20099;tender@eomi.com;https://www.eomi.com/
YUNEXTRAFFIC;4;12;3;2026-04-27;2810483.0;798885.0;0;Mannheim;68309;ausschreibungen.mitte.mo.de@yunextraffic.com;http://www.yunextraffic.com
UNITY;1;12;5;2026-06-02;2512329.0;630665.0;0;Büren;33142;sebastian.befeld@unity.de;http://www.unity.de
ITC (Europe) GmbH;1;12;6;2025-07-28;2504793.0;90491.0;0;Paderborn;33102;info@itc-germany.com;http://www.itc-germany.com
NETKAB;5;12;8;2025-09-09;2405189.0;274103.0;0;St. Ingbert;66386;dk@netkab.de;http://www.netkab.de
Strößner Büroservice GmbH;1;12;7;2025-07-08;2365951.0;143243.0;0;Hof;95028;info@stroessner.de;
REXX-SYSTEMS;1;12;7;2026-06-01;2149402.0;359633.0;0;Hamburg;20097;bernd.michaelis@rexx-systems.com;
LOWTEQ;4;12;4;2025-01-28;2021489.0;501233.0;2;Köln;50825;t.weigand@lowteq.de;
SHE;1;12;6;2025-10-24;1861848.0;215845.0;0;Ludwigshafen am Rhein;67059;info@she.net;
IA-MEDIA;1;12;4;2023-07-05;1734741.0;57450.0;0;Ingolstadt;85055;d.froehlich@ia-media.de;
BELL;1;12;6;2026-04-01;1678428.0;493917.0;1;Bonn;53175;info@bell.de;http://www.bell.de
TIPLU;1;12;7;2025-09-19;1535860.0;377000.0;0;Hamburg;21079;info@tiplu.de;http://tiplu.de
GEMELO;1;12;6;2025-09-29;1071131.0;127889.0;0;Hamburg;22761;ausschreibungen@gemelo.de;
XSUITE;4;12;4;2025-12-16;911313.0;455657.0;0;Ahrensburg;22926;info@xsuite.com;https://www.xsuite.com/
PRIMION;1;12;8;2026-03-26;890758.0;126447.0;0;Stetten a.k.M;72510;info@primion.eu;https://primion.io/
LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB);1;12;3;2025-12-11;811756.0;405878.0;1;München;80686;ausschreibung@akdb.de;https://wideservices.gr/en/
BARAMUNDI;1;12;6;2026-02-20;806621.0;371525.0;0;Augsburg;86159;ausschreibung@baramundi.com;https://www.baramundi.com/
ALLGEIER-IT;6;12;6;2025-03-12;401470.0;401470.0;0;Bremen;28307;oliver.letzel@allgeier-cyris.de;
NUBEDIAN;1;12;5;2025-06-16;340365.0;170182.0;1;Karlsruhe;76227;ausschreibungen@nubedian.de;
IDPENDANT;1;12;7;2026-05-31;225000.0;225000.0;0;Unterschleißheim;85716;customer.service@idpendant.com;
Königstein Beratungsgesellschaft für EDV-Dienstleistungen mbH;1;12;5;2022-04-05;;;0;Köln;51063;Norbert.Koenigstein@EDV-Koenigstein.de;
European Dynamics Deutschland GmbH;1;11;8;2026-03-13;146992838.0;3255450.0;50;Berlin;10717;ibd-de@eurodyn.com;http://www.eurodyn.com
SCHMIDT + Partner GmbH;1;11;5;2026-01-02;126870456.0;9273704.0;0;Hürth;50354;gertud.schmidt@sp-consulting.com;
NETSERVICES;1;11;7;2026-02-17;110717598.0;6242240.0;0;Flensburg;24941;info@netservices.de;
ITUNLIMITED;1;11;6;2024-08-15;96766480.0;6747490.0;0;Böblingen;71034;klaus.neumann@itunlimited.de;
ETOMER;1;11;5;2025-08-12;80168568.0;4616348.0;0;Berlin;14193;Niclas.lehmann@etomer.com;
NETLUTION;1;11;8;2025-03-31;70660396.0;1265630.0;0;Ludwigshafen;67061;portale@netlution.de;
ALLGEIER-PUBLIC;6;11;4;2026-05-19;28523777.0;9642000.0;0;München;80807;biddesk@allgeier-public.eu;
BK-RENNEN;1;11;5;2025-04-28;24547227.0;366000.0;0;Düsseldorf;40225;ausschreibung@bk-rennen.de;http://www.bk-rennen.de
ADICCON;3;11;6;2025-07-10;20000000.0;20000000.0;3;Darmstadt;64293;ingo.beckert@adiccon.de;
SD & C Solutions Development & Consulting GmbH;1;11;8;2024-11-11;15000000.0;5000000.0;2;Berlin;10587;ausschreibungen@sd-c.de;
ARISTON;1;11;6;2025-12-02;13689380.0;3207445.0;0;Berlin;12169;Jane.Mattika@ariston.de;
EPLASS;2;11;7;2025-04-11;13600783.0;568195.0;0;Würzburg;97080;info@thinkproject.com;
SRC Security Research & Consulting GmbH;1;11;7;2026-04-28;12255670.0;1600000.0;0;Bonn;53113;sales@src-gmbh.de;
EBP;1;11;7;2025-12-16;9472000.0;2036000.0;0;Berlin;10557;info@ebp.de;
OBJEKTKULTUR;1;11;7;2026-06-22;9340000.0;2052000.0;0;Karlsruhe;76133;gw@objektkultur.de;http://www.objektkultur.de
ATRON;1;11;7;2026-02-04;8959666.0;1257901.0;0;Markt Schwaben;85570;vertrieb@atron.de;http://www.atron.de
CES IT-Systemhaus GmbH;1;11;5;2025-12-15;8259440.0;857235.0;0;Dresden;01139;vertrieb@ces-dresden.de;
HUMAN-ART;2;11;7;2024-11-05;7776300.0;409100.0;0;Berlin;13158;ausschreibung@human-art.de;
DEXTRADATA;1;11;6;2026-03-10;7228598.0;1491000.0;0;Essen;45131;inside_sales@dextradata.com;http://www.dextradata.com
XFT;1;11;6;2025-06-16;7160245.0;395044.0;0;Berlin;10117;ausschreibungen@xft.com;https://www.xft.com/
JUNGMANN;1;11;7;2026-01-14;6345869.0;809793.0;0;Buxtehude;21614;tender@jst.ag;
BLUE-TECHNOLOGIES;1;11;7;2025-12-12;6045328.0;664425.0;0;Münster;48153;dirk.webbeler@blue-technologies.de;http://www.blue-technologies.de
ISE UG (haftungsbeschränkt);1;11;7;2025-07-31;5338925.0;545498.0;0;Aachen;52068;ausschreibung@ise-online.com;
PTC;1;11;5;2022-12-01;5066205.0;317282.0;0;Wörthseee;82237;ausschreibung@ptc.de;
PROVENTA;1;11;5;2025-12-19;4753000.0;307000.0;0;Wiesbaden;65183;d.calvo@proventa.de;
VANDERMOST;5;11;6;2025-12-22;4730341.0;533400.0;0;Heerde;8181 BG;tenderdeskduitsland@vandermost.com;http://www.vandermost.com
SAUTER-BC;1;11;6;2026-04-15;4624338.0;447264.0;0;Saarlouis;66740;NL.Saarlouis@de.sauter-bc.com;
MDS GmbH;1;11;7;2026-04-15;4369976.0;398350.0;0;Hannover;30179;backoffice@mds-it.de;http://www.mds-it.de
CONTAC;1;11;6;2025-05-13;4210404.0;327731.0;1;Ilmenau;98693;info@contac.de;
PTA;3;11;6;2026-05-11;3995981.0;3995981.0;1;Mannheim;68165;vertriebskoordination@pta.de;http://www.pta.de
PPI;1;11;9;2026-03-02;2580075.0;641160.0;2;Hamburg;22301;salesoffice@ppi.de;
SECUVERA;1;11;7;2025-02-24;2544970.0;311055.0;3;Gäufelden;71126;rlorenz@secuvera.de;
kommIT Gesellschaft für Informationstechnik GmbH;2;11;7;2024-10-23;2514469.0;368128.0;0;Köln;50670;info@komm-it.de;
SOFTLINE-GROUP;2;11;7;2026-06-09;2501104.0;1250552.0;1;Leipzig;04103;sales-ausschreibung@softline-group.com;
PARADATEC;3;11;6;2025-10-14;2379051.0;470000.0;0;Braunschweig;38112;backoffice@paradatec.de;
DIGITECH;1;11;7;2026-06-09;2341247.0;361199.0;0;Patersdorf;94265;info@digitech.eu;http://digitech.eu
RAYNET;1;11;7;2025-09-17;2064175.0;415000.0;0;Paderborn;33100;bidmanagement@raynet.de;
ALOS;1;11;8;2025-08-18;2017201.0;632682.0;0;Köln;50859;ausschreibungen@alos.de;
CODA-ERFURT;2;11;6;2024-09-19;2014325.0;340000.0;0;Erfurt;99085;info@coda-erfurt.de;
REGLER;1;11;7;2025-12-23;1781612.0;129644.0;1;Beckingen;66701;Julian.Collmann@regler.de;
MATHPLAN;1;11;7;2026-06-02;1565023.0;271150.0;0;Berlin;13347;info@mathplan.de;http://www.mathplan.de
AIRBUS;2;11;6;2024-12-19;1541708.0;1541708.0;0;Immenstaad am Bodensee;88090;tsx.sost@airbus.com;
BETTERMARKS;1;11;6;2026-02-02;1355140.0;1355140.0;0;Berlin;10997;vergabe@bettermarks.com;www.bettermarks.de
MEDIA-BROADCAST;1;11;6;2023-10-11;1329888.0;212000.0;0;Köln;51103;petra.bredenbeck@media-broadcast.com;
EBIT;2;11;6;2025-10-01;1130303.0;280466.0;0;Dresden;01277;haubold@webit.de;www.webit.de
IPG-GROUP;2;11;6;2026-05-26;1087837.0;215000.0;0;Berlin;13158;no@emailaddress.given;http://www.ipg-group.com
SERVERHERO;2;11;4;2025-12-15;1054239.0;296668.0;0;Köln;50858;info@serverhero.de;http://www.serverhero.de
COMLINE-SE;2;11;7;2024-10-14;832800.0;416400.0;1;Hamburg;22761;Daniela.Ulscht@comline-se.de;https://www.comline-se.de
LANGER-ITS;1;11;3;2026-06-24;691367.0;167000.0;0;Unterhaching;82008;einkauf@langer-its.com;
MEGASOFT;1;11;6;2025-11-18;459365.0;229683.0;0;Monheim;40789;LUKAS.MAI@T-SYSTEMS.COM;
AXWAY;1;11;6;2024-08-29;402649.0;402649.0;0;Berlin;10711;esharp@axway.com;
BROADCAST-SOLUTIONS;1;11;7;2025-08-11;258618.0;258618.0;0;Bingen am Rhein;55411;a.normann@broadcast-solutions.de;
DEKOM;1;11;4;2026-06-22;216000.0;216000.0;0;Hamburg;22529;ausschreibungen@dekom.com;
VSH Medientechnik Furtner GmbH & Co. KG;1;11;4;2024-07-02;204861.0;102430.0;0;Thyrnau;94136;aschneider@vsh-online.com;
Picard & Birkenstock;1;11;7;2025-04-28;22522.0;22522.0;0;Remscheid;42899;Frank.Postleb@pb-pbs.de;
QUANTO-SOLUTIONS;1;11;7;2026-02-26;3000.0;3000.0;1;Stuttgart;70565;stephan.heldrich@quanto-solutions.de;http://www.quanto-solutions.de
LIGHTHOUSE-MCS;1;11;5;2025-10-10;;;0;Wedel;22880;l.henke@lighthouse-it.de;
MTO;1;11;3;2026-06-22;;;0;Tübingen;72070;info@mto.de;https://mto.de
SENACOR;2;10;8;2026-06-22;5464033000.0;227500000.0;1;Eschborn;65760;senacorsalesdesk@senacor.com;
ENDAVA;2;10;3;2025-02-03;1128000000.0;56000000.0;0;Chisinau;MD 2025 Chisinau;info@endava.com;https://www.endava.com
CIMT-AG;2;10;6;2025-06-17;650692000.0;650692000.0;0;Hamburg;20095;rouven.homann@cimt-ag.de;
DEVOTEAM;1;10;5;2025-02-03;536534400.0;154000000.0;1;Frankfurt;60311 Frankfurt;info@devoteam.com;https://www.devoteam.com
GREENFIBER;4;10;4;2024-07-26;399478207.0;10380109.0;3;Hamburg;22143;kontakt@greenfiber.de;
HHP GmbH;1;10;6;2026-04-24;255394751.0;2337420.0;0;Hannover;30539;f.wegener@htp.net;
ESTCONNECT;1;10;4;2026-03-31;196740728.0;17579629.0;0;Essen;45131;breitbandausschreibungen@westenergie.de;https://www.westconnect.de/
IBYKUS;1;10;6;2026-03-13;43224911.0;1105900.0;0;Erfurt;99099;VertriebStab@ibykus.de;https://www.ibykus.de/
EKU;1;10;6;2026-03-02;33963523.0;3151576.0;0;Bochum;44866;f.kalkowski@eku.de;
IDEMIA;5;10;4;2025-03-13;33747813.0;7232463.0;0;Courbevoie;92400;info@idemia.com;www.idemia.com.
OSSWALD-BUERO;4;10;6;2025-06-02;30495992.0;3874734.0;0;Hannover;30167;dtvp@osswald-buero.de;http://www.osswald-buero.de
UNIVATIV;1;10;8;2026-02-10;24755501.0;3808600.0;1;Darmstadt;64293;dominik.zovkic@univativ.de;
MGM Technology Partners GmbH;1;10;7;2026-06-19;20778200.0;5200000.0;0;München;80807;no@emailaddress.given;
ITSMGROUP;1;10;6;2026-01-01;18942906.0;3314966.0;0;Bodenheim;55294;sales@itsmgroup.com;http://www.itsmgroup.com
GIS-CONSULT;3;10;6;2024-12-20;17494007.0;460800.0;0;Haltern am See;45721;info@gis-consult.de;
INTEND;1;10;7;2025-12-09;14424540.0;6975936.0;2;Kassel;34131;nagel@intend.de;
NORDKURIER-MEDIENGRUPPE;1;10;8;2026-05-19;13430701.0;543248.0;0;Neubrandenburg;17033;info.briefdienst@nordkurier-logistik.de;
TRAFFICON;2;10;6;2026-01-01;11616196.0;382800.0;1;Salzburg;5020;sbg@trafficon.eu;
Yunex GmbH;1;10;4;2025-04-17;11585359.0;1428896.0;0;Essen;45141;ausschreibungen.west.mo.de@yunextraffic.com;
RZV;4;10;7;2026-05-21;10872613.0;5436306.0;0;Wetter;58300;info@rzv.de;https://www.rzv.de/
SMARTMOBILELABS;2;10;4;2023-08-08;10157233.0;1767690.0;0;München;81379;uwe.selbach@smartmobilelabs.com;
AAREON;1;10;5;2025-09-30;9532917.0;1301788.0;0;Hamburg;22303;matthias.finke@aareon.com;
AGFA;2;10;6;2024-12-13;8897994.0;1062908.0;0;Bonn;53227;waldemar.rempel@agfa.com;
AUDICON;1;10;7;2024-05-29;8589470.0;1300000.0;0;Düsseldorf;40211;sales@audicon.net;
ma-edv GmbH;1;10;4;2026-06-01;6707565.0;160272.0;0;Fürstenzell;94081;info@ma-edv.com;
BOEWE-SYSTEC;1;10;7;2024-06-17;6628223.0;560455.0;0;Isernhagen;30916;info@bowe.com;
therapeutenverbund.de GmbH;1;10;5;2023-05-02;5800721.0;284028.0;0;Ingolstadt;85051;;
PLANONSOFTWARE;2;10;6;2026-06-26;5446759.0;812000.0;0;Frankfurt am Main;60329;joshua.franke@planonsoftware.com;
AVELIOS;3;10;4;2026-06-09;5217988.0;2608994.0;0;München;80339;info@avelios.com;http://avelios.com
LSTELCOM;1;10;6;2025-10-13;5082881.0;353472.0;0;Lichtenau;77839;info@lstelcom.com;
PROMEDIAWEB;1;10;6;2024-09-02;4369454.0;323216.0;0;Hockenheim;68766;info@promediaweb.de;
LINKPROTECT;1;10;6;2025-06-25;4310024.0;518000.0;0;Kirchseeon;85614;wiest@linkprotect.de;
IN2CODE;1;10;6;2025-09-09;4181164.0;600000.0;1;Rosenheim;83026;stefan.busemann@in2code.de;
BASYS-BREMEN;2;10;7;2023-11-07;4000736.0;320870.0;0;Bremen;28357;thomas.renner@basys-bremen.de;
PULSATION-IT;1;10;6;2025-11-27;3933768.0;425225.0;0;Berlin;13407;vertrieb@pulsation-it.com;https://www.pulsation-it.com
BETASYSTEMS;1;10;7;2026-04-27;3382694.0;870000.0;0;Berlin;10587;Dummy-eMail-eVergabe@fb.hamburg.de;
OBS Büro Centrum GmbH;1;10;2;2023-09-01;3190545.0;257977.0;0;Plauen;08527;kontakt@obs-plauen.de;
VOLAVIS;1;10;6;2024-08-13;3030334.0;293513.0;0;Leopoldshöhe;33818;verwaltung@volavis.de;
AUXALIA;4;10;6;2025-12-19;2996615.0;344040.0;0;Hamburg;21079;info@auxalia.com;https://www.auxalia.com/
X-NRW GmbH;2;10;7;2025-03-19;2736483.0;609242.0;0;Neuss;41460;info@x-nrw.de;
SONOVTS;3;10;7;2025-11-10;2591765.0;543023.0;0;Kiel;24148;ruven.marsch@sonovts.com;http://hdqline.com
ChuInvest GmbH;1;10;6;2025-09-11;2500000.0;2500000.0;0;Berlin;10969;kontakt-ts@bdr.de;http://www.d-trust.net
STECKERFERTIG;3;10;3;2025-02-03;2441899.0;294380.0;0;Cappeln (Oldenburg);49692;info@steckerfertig.de;
GID GmbH & Co. KG;1;10;6;2026-01-19;2356833.0;320000.0;0;Köln;50679;info@gid-it.de;https://www.gid-it.de
Innovative Datensysteme GmbH;1;10;4;2023-07-14;2300680.0;1150340.0;0;Stuttgart;70499;vertrieb@indasys.de;
DSD-DATASERVICE;1;10;4;2022-07-04;2266378.0;262627.0;0;Maisach;82216;a.lang@dsd-dataservice.de;
Hyrican AG;1;10;3;2022-08-30;2122593.0;320645.0;0;Kindelbrück;99638;;
Freytag & Petersen GmbH & Co.KG;1;10;7;2025-11-10;2095137.0;252400.0;0;Köln;50739;jmarx@igepagroup.com;
ML Consulting Schulung, Service & Support GmbH;1;10;7;2025-04-01;2029225.0;275028.0;1;Köln;50858;vertrieb@mlgruppe.de;
IPSYSCON;1;10;6;2025-10-29;2019308.0;365304.0;0;Hannover;30159;ausschreibung@ipsyscon.de;http://www.ipsyscon.de
OFFITS;1;10;5;2026-03-02;1992121.0;349593.0;0;Regensburg;93053;office@offits.net;
JACOB;1;10;5;2025-12-15;1903460.0;277772.0;0;Karlsruhe;76229;vergabe@jacob.de;https://www.jacob.de/
First Data GmbH;1;10;5;2026-03-23;1806572.0;436418.0;0;Bad Homburg v.d. Höhe;61348;Dummy-eMail-eVergabe@fb.hamburg.de;
TUTTAS-JENSEN;2;10;5;2022-10-12;1789556.0;16828.0;0;Essen;45149;info@tuttas-jensen.de;
SPIE-OSMO;1;10;2;2023-07-18;1743897.0;131794.0;0;Georgsmarienhütte;49124;juliana.koch@spie-osmo.de;
INTECBERLIN;1;10;6;2025-04-08;1693135.0;211800.0;0;Berlin;10587;cy@intecberlin.de;
ORKSTATION-HANNOVER;1;10;7;2025-08-25;1677701.0;374318.0;0;Hannover;30165;info@workstation-hannover.de;
GODYO;1;10;4;2023-06-30;1657330.0;448106.0;1;Jena;07745;Martina.Hornhauer@godyo.com;
INSYNERGIE;1;10;6;2025-12-19;1559522.0;396747.0;0;Rheinbreitbach;53619;schulze@insynergie.de;http://www.insynergie.de
SET;1;10;7;2026-02-12;1444879.0;400293.0;0;Hannover;30163;ulrich.boehlen@set.de;http://set.de
ENTHUS;4;10;4;2026-05-22;1182237.0;228861.0;0;Böblingen;71034;michael.heimel@enthus.de;http://enthus.de
ETRANSFORM;1;10;6;2026-04-17;1086767.0;281389.0;1;Darmstadt;64283;info@wetransform.to;https://wetransform.to
HAMBURGNET;1;10;5;2023-12-06;1042740.0;521370.0;0;Hamburg;22041;tender@hamburgnet.de;
KAIROS;2;10;8;2025-12-01;1034204.0;221500.0;0;Bochum;44801;sales@kairos.de;https://www.kairos.de
VENITURE;1;10;3;2024-11-12;1019635.0;216000.0;0;Köln;50676;service@veniture.net;
ABEL-KAEUFL;1;10;5;2026-05-11;887166.0;887166.0;0;Landshut;84034;salessupport@abel-kaeufl.de;
PROTOSOFT;1;10;7;2024-04-26;859967.0;175000.0;0;Puchheim;82178;verkauf@protosoft.de;
BUERO-ALBERS;1;10;5;2024-06-25;832670.0;183213.0;0;Meppen;49716;info.meppen@buero-albers.de;
EMOVE;1;10;4;2025-11-28;667200.0;333600.0;0;Frankfurt am Main;60314;contact@wemove.com;
XITASO;2;10;4;2025-05-19;645003.0;215001.0;0;Augsburg;86153;info@xitaso.com;
C-TRACE;1;10;5;2025-11-21;566830.0;283415.0;0;Bielefeld;33605;info@c-trace.de;
KKS Kemmler Kopier Systeme GmbH;1;10;6;2025-05-06;564026.0;145353.0;0;Kaiserslautern;67657;guster@kks-kl.com;
-COMMERCE;1;10;5;2024-09-02;358040.0;36720.0;1;Offenburg;77656;info@w-commerce.de;
ILKEN;1;10;6;2026-01-01;342610.0;342610.0;0;Ulm;89081;w@wilken.de;
ENTONA;1;10;5;2024-01-17;;;3;Müschenbach;57629;info@entona.de;
BRODOS;1;10;4;2026-04-28;;;0;Baiersdorf;91083;alexander.klippenstein@brodos.de;
RÖWAPLAN AG;1;10;5;2023-04-03;;;0;Abtsgmünd;73453;vertrieb@roewaplan.de;
MT-THOMAS;1;10;5;2025-07-22;;;0;Siegen;57074;info@mt-thomas.de;http://www.mt-thomas.de
UNISYS;1;9;6;2024-04-02;3510665155.0;146201095.0;24;Hattersheim;65795;bianca.gallian@unisys.com;
OVH SAS;1;9;1;2025-02-03;934000000.0;380000000.0;0;Roubaix;59100 Roubaix;info@ovhcloud.com;https://www.ovhcloud.com
BRAINSPHERE;2;9;4;2022-07-04;507631590.0;100339000.0;5;München;80687;office@brainsphere.de;
INFORA;1;9;6;2024-12-02;200750000.0;100375000.0;0;Köln;50996;vertrieb-infora@materna.group;
SULZER;1;9;3;2025-12-21;152060670.0;5869835.0;1;Stuttgart;70193;RESPOVVVV@rentenbank.de;http://sulzer.de
AVESTONE;2;9;3;2026-05-22;140100000.0;140100000.0;0;München;D-90425;michael.hasinger@wavestone.com;
MUENET;2;9;7;2025-11-11;94675555.0;9686204.0;4;Rosendahl;48720;info@muenet.net;https://www.muenet.net
FREESORT;1;9;5;2022-02-04;81067660.0;9849585.0;0;Langenfeld;40764;fs-vergabe@freesort.de;
ITCOM;3;9;6;2026-03-20;76291188.0;1063145.0;0;Wiesbaden;65189;wholesale@witcom.de;
EBCONT;5;9;4;2026-06-03;53498206.0;3824960.0;1;Frankfurt am Main;60329;ausschreibungen-ger@ebcont.com;https://www.ebcont.com
SMAILGMBH;1;9;5;2023-09-01;50675377.0;6453496.0;0;Reutlingen;72770;schmid@smailgmbh.de;
REPLY;3;9;4;2026-03-02;37257000.0;8025000.0;0;Gütersloh;33334;info@reply.de;https://www.fincon.eu/
BREITBANDTECHNIK;2;9;3;2024-04-22;34567299.0;929582.0;0;Nürtingen;72622;rouven.korreik@breitbandtechnik.de;
BWPOST-BB;1;9;7;2026-03-23;29659193.0;276365.0;0;Sindelfingen;71065;m.rupp@bwpost-bb.de;
HBSN-GRUPPE;3;9;8;2026-01-27;24603730.0;2534400.0;6;Braunschweig;38104;ausschreibung@hbsn-gruppe.de;http://hbsn-gruppe.de
CALCON;1;9;4;2023-12-28;24581605.0;3557740.0;1;München;80336;Ausschreibung@calcon.de;
VERSATEL;2;9;6;2025-12-16;24317456.0;715212.0;0;Düsseldorf;40468;bidmanagement@1und1.net;
INTERFACE-AG;1;9;7;2026-04-27;21751016.0;2509516.0;1;Unterhaching;82008;info@interface-ag.de;http://www.interface-ag.de
CONVERGETP;5;9;2;2026-06-08;19187723.0;574304.0;0;Mainz;55129;ausschreibungen@convergetp.de;http://www.converge.com
QUEO-GROUP;1;9;6;2025-02-28;17921000.0;8960500.0;0;Dresden;01159;info@queo-group.com;
ORDIX;2;9;7;2025-06-05;17105196.0;345460.0;0;Paderborn;33100;rau@ordix.de;http://ordix.de
Ingenieurgruppe IVV GmbH;1;9;6;2025-11-04;16032777.0;1860000.0;0;Aachen;52066;ser@ivv-aachen.de;
ESTERNACHER;1;9;7;2026-04-28;15944516.0;2326000.0;0;Berlin;10965;evergabe@westernacher.com;https://westernacher-solutions.com/
NORIS;1;9;6;2026-05-05;15069791.0;15069791.0;1;Nürnberg;90471;vertrieb@noris.de;http://www.noris.de
Fsas Technologies GmbH;3;9;2;2026-06-12;14668490.0;2037700.0;0;Berlin;13629;fridolin.leupert@fujitsu.com;
ITCONSULTING;1;9;5;2023-03-13;11935000.0;11935000.0;0;Ober-Ramstadt;64372;joachim.groh@itconsulting.de;
VMT Düssel Video-Medien-Technik GmbH;1;9;5;2026-03-24;11343427.0;1609455.0;0;Essen;45356;info@vmt-duessel.de;http://www.vmt-duessel.de
EFTAS;3;9;5;2025-06-24;10574852.0;694926.0;0;Münster;48145;Soenke.Mueller@eftas.com;https://www.eftas.de
MIGHTYCARE;2;9;5;2025-06-18;8477291.0;503191.0;0;Frankfurt am Main;60388;ordermanagement@mightycare.de;http://mightycare.de
HORVATH-PARTNERS;1;9;4;2026-04-27;8342384.0;4171192.0;0;Stuttgart;70178;ausschreibungen@horvath-partners.com;https://www.horvath-partners.com/de/?hcc=de&r=1
BONATHERM - Exothermische Erzeugnisse Gesellschaft mit beschränkter Haftung;1;9;6;2024-10-25;7800723.0;383193.0;0;Solingen;42653;petra.figge@bong.com;
SECTRA;1;9;5;2025-06-16;7339318.0;2431251.0;0;Köln;50968;info@sectra.com;
Eos Media Gesellschaft für interaktive Medien mbH;1;9;5;2026-01-28;7030992.0;158428.0;1;Hamburg;20357;info@eos-uptrade.de;
CITY-MAIL;1;9;8;2026-01-19;6160179.0;767804.0;1;Regensburg;93055;betriebsmanagement@city-mail.de;
REGIOIT;1;9;6;2024-08-26;6036657.0;1489523.0;0;Aachen;52070;thomas.wucherer@regioit.de;
CRIMSON;2;9;6;2026-03-03;5101501.0;396768.0;0;Bad Soden-Salmünster;63628;martin.stoll@crimson.de;http://www.crimson.de
VISUS;2;9;5;2025-07-22;4829194.0;603499.0;0;Bochum;44801;tender@visus.com;
ROYSCHULZ;2;9;7;2025-12-23;4511842.0;624000.0;1;Berlin;12277;Ausschreibungen@royschulz.de;
TRADING-POINT;1;9;6;2024-06-27;4445727.0;183617.0;0;Bielefeld;33609;pascal.kemner@trading-point.net;
NTS;1;9;6;2026-02-18;4421155.0;865785.0;0;Augsburg;86167;andreas.joechl@nts.eu;https://www.nts.eu/de/
EWERK;5;9;5;2026-03-17;4408996.0;4408996.0;0;Leipzig;04109;bid@ewerk.com;http://ewerk.com
VST Vertriebsgesellschaft für Video-System- und Kommunikationstechnik mbH;1;9;4;2025-11-26;4316441.0;504480.0;0;Saalfeld/Saale;07318;info@vst-pro.de;https://www.vst-pro.de/
