Firma;Register_ID;Gruppe;IT_Gewinne;aktive_Jahre;letzter_Gewinn;Summe_Wert_EUR;Median_Wert_EUR;ARGE_Gewinne;Ort;PLZ;Email;Web;Aufloesung
SWARCO Traffic Systems GmbH;B8534_HRB723326;SWARCO;11;6;2025-12-19;2765328.0;409155.0;0;Trier;54294;pv@swarco.de;;handelsregister_exakt
AixConcept GmbH;R3101_HRB12001;AIXCONCEPT;11;6;2025-10-31;2623287.0;280742.0;0;Stolberg;52222;vertrieb@aixconcept.de;https://aixconcept.de;handelsregister_exakt
PPI GmbH;B8537_HRB727672;PPI;11;9;2026-03-02;2580075.0;641160.0;2;Hamburg;22301;salesoffice@ppi.de;;handelsregister_exakt
secuvera GmbH;B8534_HRB241704;SECUVERA;11;7;2025-02-24;2544970.0;311055.0;3;Gäufelden;71126;rlorenz@secuvera.de;;handelsregister_exakt
digitech gmbh;G1207_HRB7785;DIGITECH;11;7;2026-06-09;2341247.0;361199.0;0;Patersdorf;94265;info@digitech.eu;http://digitech.eu;handelsregister_exakt
Recare Deutschland GmbH;;RECARESOLUTIONS;11;4;2024-12-27;2119026.0;224799.0;0;Berlin;10559;bid.management@recaresolutions.com;;nur_name
Raynet GmbH;B1204_HRB413505;RAYNET;11;7;2025-09-17;2064175.0;415000.0;0;Paderborn;33100;bidmanagement@raynet.de;;handelsregister_exakt
ALOS GmbH;R3306_HRB464;ALOS;11;8;2025-08-18;2017201.0;632682.0;0;Köln;50859;ausschreibungen@alos.de;;handelsregister_exakt
REGLER Office GmbH;V1109_HRB15748;REGLER;11;7;2025-12-23;1781612.0;129644.0;1;Beckingen;66701;Julian.Collmann@regler.de;;handelsregister_exakt
Thomann KG.;B8534_HRA6016;THOMANN;11;6;2026-04-27;1664669.0;563714.0;0;Burgebrach;96138;audioprof@thomann.de;http://www.audioprof.de;handelsregister_exakt
MathPlan GmbH;F1103R_HRB148309;MATHPLAN;11;7;2026-06-02;1565023.0;271150.0;0;Berlin;13347;info@mathplan.de;http://www.mathplan.de;handelsregister_exakt
bettermarks GmbH;K1101R_HRB106061;BETTERMARKS;11;6;2026-02-02;1355140.0;1355140.0;0;Berlin;10997;vergabe@bettermarks.com;www.bettermarks.de;handelsregister_exakt
MEDIA BROADCAST GmbH;R3306_HRB81139;MEDIA-BROADCAST;11;6;2023-10-11;1329888.0;212000.0;0;Köln;51103;petra.bredenbeck@media-broadcast.com;;handelsregister_exakt
Safetec IT-Systeme Vertriebs GmbH;;SAFETEC;11;6;2025-01-09;898263.0;237520.0;0;Stuttgart;70372;Dummy-eMail-eVergabe@fb.hamburg.de;;nur_name
Langer IT Solutions GmbH;D2601V_HRB237258;LANGER-ITS;11;3;2026-06-24;691367.0;167000.0;0;Unterhaching;82008;einkauf@langer-its.com;;handelsregister_exakt
megasoft IT GmbH & Co. KG;R1608_HRA24657;MEGASOFT;11;6;2025-11-18;459365.0;229683.0;0;Monheim;40789;LUKAS.MAI@T-SYSTEMS.COM;;handelsregister_exakt
Axway GmbH;M1201_HRB45870;AXWAY;11;6;2024-08-29;402649.0;402649.0;0;Berlin;10711;esharp@axway.com;;handelsregister_exakt
"""Broadcast Solutions GmbH""";T2304V_HRB23289;BROADCAST-SOLUTIONS;11;7;2025-08-11;258618.0;258618.0;0;Bingen am Rhein;55411;a.normann@broadcast-solutions.de;;handelsregister_exakt
DEKOM AG;K1101R_HRB73265;DEKOM;11;4;2026-06-22;216000.0;216000.0;0;Hamburg;22529;ausschreibungen@dekom.com;;handelsregister_exakt
VSH Medientechnik Furtner GmbH & Co. KG;D2803V_HRA13070;;11;4;2024-07-02;204861.0;102430.0;0;Thyrnau;94136;aschneider@vsh-online.com;;handelsregister_exakt
Deutsche Telekom Security GmbH;DE254595345;TELEKOM;11;2;2026-05-15;198400.0;198400.0;0;Bonn;53113;security.public@telekom.de;http://www.telekom.de/security;ted_nationalid
Picard & Birkenstock;R1608_R1603_HRA690;;11;7;2025-04-28;22522.0;22522.0;0;Remscheid;42899;Frank.Postleb@pb-pbs.de;;handelsregister_exakt
Quanto Solutions GmbH;B8534_HRB758646;QUANTO-SOLUTIONS;11;7;2026-02-26;3000.0;3000.0;1;Stuttgart;70565;stephan.heldrich@quanto-solutions.de;http://www.quanto-solutions.de;handelsregister_exakt
Utimaco GmbH;R3101_HRB18479;UTIMACO;11;8;2025-01-09;;;0;Aachen;52080;info@utimaco.com;;handelsregister_exakt
MTO Psychologische Forschung und Beratung GmbH;B8534_HRB382423;MTO;11;3;2026-06-22;;;0;Tübingen;72070;info@mto.de;https://mto.de;handelsregister_exakt
LIGHTHOUSE Management Consulting + Software GmbH;X1321R_HRB1709EL;LIGHTHOUSE-MCS;11;5;2025-10-10;;;0;Wedel;22880;l.henke@lighthouse-it.de;;handelsregister_exakt
Academic Software BV;BE 0635.738.394;ACADEMICSOFTWARE;10;1;2025-02-03;2605000000.0;412500000.0;0;Lokeren;9160 Lokeren;info@academicsoftware.com;https://www.academicsoftware.com;ted_nationalid
Devoteam GmbH;M1103_HRB6450;DEVOTEAM;10;5;2025-02-03;536534400.0;154000000.0;1;Frankfurt;60311 Frankfurt;info@devoteam.com;https://www.devoteam.com;handelsregister_exakt
HHP GmbH;M1906_HRB21552;;10;6;2026-04-24;255394751.0;2337420.0;0;Hannover;30539;f.wegener@htp.net;;handelsregister_exakt
WESTCONNECT UG (haftungsbeschränkt);M1710_HRB5778;ESTCONNECT;10;4;2026-03-31;196740728.0;17579629.0;0;Essen;45131;breitbandausschreibungen@westenergie.de;https://www.westconnect.de/;handelsregister_exakt
IBYKUS Aktiengesellschaft für Informationstechnologie;D2601V_HRB126871;IBYKUS;10;6;2026-03-13;43224911.0;1105900.0;0;Erfurt;99099;VertriebStab@ibykus.de;https://www.ibykus.de/;handelsregister_exakt
Deutsche Post Inhaus Service GmbH;;DEUTSCHEPOST;10;7;2024-01-30;34232373.0;286730.0;0;Bonn;53119;ausschreibung.management@deutschepost.de;;nur_name
eku Kabel & Systeme GmbH & Co. KG;R2201_HRA4107;EKU;10;6;2026-03-02;33963523.0;3151576.0;0;Bochum;44866;f.kalkowski@eku.de;;handelsregister_exakt
univativ GmbH & Co. KG;M1103_HRA7066;UNIVATIV;10;8;2026-02-10;24755501.0;3808600.0;1;Darmstadt;64293;dominik.zovkic@univativ.de;;handelsregister_exakt
MGM Technology Partners GmbH;D2601V_HRB105068;;10;7;2026-06-19;20778200.0;5200000.0;0;München;80807;no@emailaddress.given;;handelsregister_exakt
Riedel ITSM GmbH;T2304V_HRB8115;ITSMGROUP;10;6;2026-01-01;18942906.0;3314966.0;0;Bodenheim;55294;sales@itsmgroup.com;http://www.itsmgroup.com;handelsregister_exakt
INTEND Geoinformatik GmbH;M1607_HRB7336;INTEND;10;7;2025-12-09;14424540.0;6975936.0;2;Kassel;34131;nagel@intend.de;;handelsregister_exakt
Nordkurier Mediengruppe GmbH & Co. KG;N1105V_HRA25;NORDKURIER-MEDIENGRUPPE;10;8;2026-05-19;13430701.0;543248.0;0;Neubrandenburg;17033;info.briefdienst@nordkurier-logistik.de;;handelsregister_exakt
EPLASS project collaboration GmbH;D4708V_HRB6514;EPLASS;10;6;2025-04-11;12936983.0;560000.0;0;Würzburg;97080;info@thinkproject.com;;handelsregister_exakt
Yunex GmbH;;;10;4;2025-04-17;11585359.0;1428896.0;0;Essen;45141;ausschreibungen.west.mo.de@yunextraffic.com;;nur_name
Aareon Deutschland GmbH;T2304V_HRB6091;AAREON;10;5;2025-09-30;9532917.0;1301788.0;0;Hamburg;22303;matthias.finke@aareon.com;;handelsregister_exakt
GEVAS software GmbH;D2601V_HRB131292;GEVAS;10;7;2025-12-18;9356946.0;982400.0;1;München;80335;kunde@gevas.de;;handelsregister_exakt
AUDICON GmbH;B8534_HRB21330;AUDICON;10;7;2024-05-29;8589470.0;1300000.0;0;Düsseldorf;40211;sales@audicon.net;;handelsregister_exakt
Human Art Computersysteme GmbH;F1103R_HRB54775;HUMAN-ART;10;7;2024-02-12;7256369.0;298269.0;0;Berlin;13158;ausschreibung@human-art.de;;handelsregister_exakt
Transport Express Schmidt GmbH;;TE-SCHMIDT;10;4;2023-10-11;7232408.0;1000000.0;0;Koblenz;56070;Matthias.Weske@te-schmidt.de;;nur_name
ma-edv GmbH;D2803V_HRB5604;;10;4;2026-06-01;6707565.0;160272.0;0;Fürstenzell;94081;info@ma-edv.com;;handelsregister_exakt
BÖWE SYSTEC Aktiengesellschaft;D2102V_HRB61;BOEWE-SYSTEC;10;7;2024-06-17;6628223.0;560455.0;0;Isernhagen;30916;info@bowe.com;;handelsregister_exakt
IT MediaConsult AG;;ITMEDIACONSULT;10;7;2022-02-08;6000104.0;926200.0;0;Züsch;54422;vertrieb@itmediaconsult.de;;nur_name
FERCHAU Engineering GmbH;R3306_HRB38447;FERCHAU;10;4;2022-03-08;5861657.0;5861657.0;0;Gummersbach;51643;koblenz@ferchau.com;;handelsregister_exakt
therapeutenverbund.de GmbH;B8535_HRB108496;;10;5;2023-05-02;5800721.0;284028.0;0;Ingolstadt;85051;;;handelsregister_exakt
LS telcom Aktiengesellschaft;B8535_HRB211164;LSTELCOM;10;6;2025-10-13;5082881.0;353472.0;0;Lichtenau;77839;info@lstelcom.com;;handelsregister_exakt
PRODATO Integration Technology GmbH;D3310V_HRB35167;PRODATO;10;4;2025-09-08;5069040.0;1000000.0;1;Nürnberg;90427;johannes.held@prodato.de;http://www.prodato.de;handelsregister_exakt
ProMedia GmbH;X1517R_HRB2577PL;PROMEDIAWEB;10;6;2024-09-02;4369454.0;323216.0;0;Hockenheim;68766;info@promediaweb.de;;handelsregister_exakt
link protect GmbH;D2601V_HRB156657;LINKPROTECT;10;6;2025-06-25;4310024.0;518000.0;0;Kirchseeon;85614;wiest@linkprotect.de;;handelsregister_exakt
in2code GmbH;D2910V_HRB21170;IN2CODE;10;6;2025-09-09;4181164.0;600000.0;1;Rosenheim;83026;stefan.busemann@in2code.de;;handelsregister_exakt
pulsation IT GmbH;F1103R_HRB140351;PULSATION-IT;10;6;2025-11-27;3933768.0;425225.0;0;Berlin;13407;vertrieb@pulsation-it.com;https://www.pulsation-it.com;handelsregister_exakt
milch & zucker TALENT ACQUISITION & TALENT MANAGEMENT COMPANY AG;M1405_HRB1951;MILCHUNDZUCKER;10;6;2025-09-29;3693299.0;599720.0;0;Gießen;35398;sales@milchundzucker.de;http://www.milchundzucker;handelsregister_exakt
Beta Systems DCI Software Aktiengesellschaft;F1103R_HRB165021;BETASYSTEMS;10;7;2026-04-27;3382694.0;870000.0;0;Berlin;10587;Dummy-eMail-eVergabe@fb.hamburg.de;;handelsregister_exakt
OBS Büro Centrum GmbH;;;10;2;2023-09-01;3190545.0;257977.0;0;Plauen;08527;kontakt@obs-plauen.de;;nur_name
neusta destination solutions GmbH;D2601V_HRB224670;NEUSTA;10;4;2023-01-24;3045478.0;223460.0;0;München;80802;ds@neusta.de;;handelsregister_exakt
Volavis GmbH;R2307_HRB7189;VOLAVIS;10;6;2024-08-13;3030334.0;293513.0;0;Leopoldshöhe;33818;verwaltung@volavis.de;;handelsregister_exakt
kommIT Gesellschaft für Informationstechnik GmbH;;;10;7;2024-10-23;2514469.0;368128.0;0;Köln;50670;info@komm-it.de;;nur_name
ChuInvest GmbH;D2404V_HRB8048;;10;6;2025-09-11;2500000.0;2500000.0;0;Berlin;10969;kontakt-ts@bdr.de;http://www.d-trust.net;handelsregister_exakt
GID GmbH & Co. KG;D2601V_HRA87267;;10;6;2026-01-19;2356833.0;320000.0;0;Köln;50679;info@gid-it.de;https://www.gid-it.de;handelsregister_exakt
Innovative Datensysteme GmbH;;;10;4;2023-07-14;2300680.0;1150340.0;0;Stuttgart;70499;vertrieb@indasys.de;;nur_name
DSD Data Service Damm GmbH;;DSD-DATASERVICE;10;4;2022-07-04;2266378.0;262627.0;0;Maisach;82216;a.lang@dsd-dataservice.de;;nur_name
Hyrican AG;;;10;3;2022-08-30;2122593.0;320645.0;0;Kindelbrück;99638;;;nur_name
Freytag & Petersen GmbH & Co.KG;R3306_HRA1202;;10;7;2025-11-10;2095137.0;252400.0;0;Köln;50739;jmarx@igepagroup.com;;handelsregister_exakt
Lur SL GmbH;;;10;5;2026-06-10;2078245.0;225000.0;0;Leuterod;56244;l.reutelsterz@lursl.de;;nur_name
ML Consulting Schulung, Service & Support GmbH;R3306_HRB19650;;10;7;2025-04-01;2029225.0;275028.0;1;Köln;50858;vertrieb@mlgruppe.de;;handelsregister_exakt
IP Syscon GmbH;P2507_P2503_HRB100689;IPSYSCON;10;6;2025-10-29;2019308.0;365304.0;0;Hannover;30159;ausschreibung@ipsyscon.de;http://www.ipsyscon.de;handelsregister_exakt
offITs GmbH;D3410V_HRB7816;OFFITS;10;5;2026-03-02;1992121.0;349593.0;0;Regensburg;93053;office@offits.net;;handelsregister_exakt
Jacob Elektronik GmbH;B8535_HRB705109;JACOB;10;5;2025-12-15;1903460.0;277772.0;0;Karlsruhe;76229;vergabe@jacob.de;https://www.jacob.de/;handelsregister_exakt
Konica Minolta Business Solutions GmbH;;KONICAMINOLTA;10;6;2023-10-24;1814085.0;287066.0;0;Langenhagen;30855;tender-office@KonicaMinolta.de;;nur_name
First Data GmbH;B8534_HRB720307;;10;5;2026-03-23;1806572.0;436418.0;0;Bad Homburg v.d. Höhe;61348;Dummy-eMail-eVergabe@fb.hamburg.de;;handelsregister_exakt
SPIE OSMO GmbH;;SPIE-OSMO;10;2;2023-07-18;1743897.0;131794.0;0;Georgsmarienhütte;49124;juliana.koch@spie-osmo.de;;nur_name
Intec Computer Systeme GmbH;F1103R_HRB26758;INTECBERLIN;10;6;2025-04-08;1693135.0;211800.0;0;Berlin;10587;cy@intecberlin.de;;handelsregister_exakt
workstation Hannover GmbH;P2305_P2306_HRB110834;ORKSTATION-HANNOVER;10;7;2025-08-25;1677701.0;374318.0;0;Hannover;30165;info@workstation-hannover.de;;handelsregister_exakt
GODYO Enterprise Computing Aktiengesellschaft;Y1206_HRB502159;GODYO;10;4;2023-06-30;1657330.0;448106.0;1;Jena;07745;Martina.Hornhauer@godyo.com;;handelsregister_exakt
inSynergie GmbH;R3208_HRB7050;INSYNERGIE;10;6;2025-12-19;1559522.0;396747.0;0;Rheinbreitbach;53619;schulze@insynergie.de;http://www.insynergie.de;handelsregister_exakt
SET GmbH;B8537_HRB620992;SET;10;7;2026-02-12;1444879.0;400293.0;0;Hannover;30163;ulrich.boehlen@set.de;http://set.de;handelsregister_exakt
DATAGROUP Köln GmbH;R3306_HRB65490;DATAGROUP;10;5;2026-04-10;1436643.0;718321.0;0;Köln;51063;vertrieb-koeln@datagroup.de;;handelsregister_exakt
Deloitte Deutsche Industrie- Treuhandgesellschaft mbH Wirtschaftsprüfungsgesellschaft;P2305_HRB51437;DELOITTE;10;6;2026-04-24;1142450.0;1142450.0;2;ZAVENTEM;1930;pcoe_oneeu@deloitte.com;;handelsregister_exakt
ipg information process group GmbH Deutschland;K1101R_HRB99474;IPG-GROUP;10;5;2026-05-26;1087837.0;215000.0;0;Berlin;13158;no@emailaddress.given;http://www.ipg-group.com;handelsregister_exakt
wetransform GmbH;M1103_HRB93297;ETRANSFORM;10;6;2026-04-17;1086767.0;281389.0;1;Darmstadt;64283;info@wetransform.to;https://wetransform.to;handelsregister_exakt
Hamburgnet;;HAMBURGNET;10;5;2023-12-06;1042740.0;521370.0;0;Hamburg;22041;tender@hamburgnet.de;;nur_name
venITure GmbH;R3306_HRB86684;VENITURE;10;3;2024-11-12;1019635.0;216000.0;0;Köln;50676;service@veniture.net;;handelsregister_exakt
Abel & Käufl Mobilfunkhandels GmbH;D2404V_HRB3925;ABEL-KAEUFL;10;5;2026-05-11;887166.0;887166.0;0;Landshut;84034;salessupport@abel-kaeufl.de;;handelsregister_exakt
Protosoft AG;D2601V_HRB134388;PROTOSOFT;10;7;2024-04-26;859967.0;175000.0;0;Puchheim;82178;verkauf@protosoft.de;;handelsregister_exakt
Comline Computer + Softwarelösungen AG.;K1101R_HRB59870;COMLINE-SE;10;7;2024-10-14;832800.0;416400.0;1;Hamburg;22761;Daniela.Ulscht@comline-se.de;https://www.comline-se.de;handelsregister_exakt
Büro Albers GmbH & Co. KG;P3313_P3310_HRA120831;BUERO-ALBERS;10;5;2024-06-25;832670.0;183213.0;0;Meppen;49716;info.meppen@buero-albers.de;;handelsregister_exakt
CGI Deutschland B.V. & Co. KG;DE114118368;CGI;10;4;2026-02-09;815000.0;815000.0;0;Eschborn;65760;info.de@cgi.com;;ted_nationalid
Herzum Software Srl Unipersonale;;HERZUM;10;4;2025-07-01;698080.0;349040.0;0;Rende (CS);87036;Dummy-eMail-eVergabe@fb.hamburg.de;;nur_name
SPIE Information & Communication Services GmbH;;SPIE;10;5;2026-03-24;668758.0;334379.0;0;Leipzig;04159;vergabe.icsde@spie.com;;nur_name
wemove digital solutions GmbH;M1201_HRB53992;EMOVE;10;4;2025-11-28;667200.0;333600.0;0;Frankfurt am Main;60314;contact@wemove.com;;handelsregister_exakt
c trace GmbH;R2108_HRB9764;C-TRACE;10;5;2025-11-21;566830.0;283415.0;0;Bielefeld;33605;info@c-trace.de;;handelsregister_exakt
KKS Kemmler Kopier Systeme GmbH;T3201V_HRB4121;;10;6;2025-05-06;564026.0;145353.0;0;Kaiserslautern;67657;guster@kks-kl.com;;handelsregister_exakt
Web Commerce GmbH;B1204_HRB471924;-COMMERCE;10;5;2024-09-02;358040.0;36720.0;1;Offenburg;77656;info@w-commerce.de;;handelsregister_exakt
Wilken GmbH;B8537_HRB620263;ILKEN;10;6;2026-01-01;342610.0;342610.0;0;Ulm;89081;w@wilken.de;;handelsregister_exakt
Gesellschft für digitale Bildung mbH;DE346687964;;10;2;2026-05-11;93040.0;93040.0;0;Mainz;55129;ausschreibungen@convergetp.de;https://convergetp.de/impressum/;ted_nationalid
BRODOS AG;D3304V_HRB7677;BRODOS;10;4;2026-04-28;;;0;Baiersdorf;91083;alexander.klippenstein@brodos.de;;handelsregister_exakt
RÖWAPLAN AG;B8537_HRB501383;;10;5;2023-04-03;;;0;Abtsgmünd;73453;vertrieb@roewaplan.de;;handelsregister_exakt
cronos Unternehmensberatung GmbH;R2713_HRB5244;CRONOS;10;6;2025-11-14;;;4;Münster;48155;sales@cronos.de;http://cronos.de;handelsregister_exakt
EY Consulting GmbH;DE282005257;;10;3;2026-02-23;;;1;Berlin;10117;pursuits.gps@de.ey.com;;ted_nationalid
Medientechnik Thomas GmbH;R2909_HRB5560;MT-THOMAS;10;5;2025-07-22;;;0;Siegen;57074;info@mt-thomas.de;http://www.mt-thomas.de;handelsregister_exakt
entona GmbH & Co. KG;T2214V_HRA21772;ENTONA;10;5;2024-01-17;;;3;Müschenbach;57629;info@entona.de;;handelsregister_exakt
UNISYS Deutschland GmbH;M1201_HRB7929;UNISYS;9;6;2024-04-02;3510665155.0;146201095.0;24;Hattersheim;65795;bianca.gallian@unisys.com;;handelsregister_exakt
OVH SAS;FR 22 424 761 419;;9;1;2025-02-03;934000000.0;380000000.0;0;Roubaix;59100 Roubaix;info@ovhcloud.com;https://www.ovhcloud.com;ted_nationalid
Infora GmbH;;INFORA;9;6;2024-12-02;200750000.0;100375000.0;0;Köln;50996;vertrieb-infora@materna.group;;nur_name
Sulzer GmbH;B8534_HRB7608;SULZER;9;3;2025-12-21;152060670.0;5869835.0;1;Stuttgart;70193;RESPOVVVV@rentenbank.de;http://sulzer.de;handelsregister_exakt
freesort GmbH;R1101_HRB51634;FREESORT;9;5;2022-02-04;81067660.0;9849585.0;0;Langenfeld;40764;fs-vergabe@freesort.de;;handelsregister_exakt
Fa. Bechtle GmbH;;BECHTLE;9;5;2022-07-21;61826061.0;701700.0;0;Bremen;28199;markus.kaefer@bechtle.com;;nur_name
sMAIL | GEA Post-Service;;SMAILGMBH;9;5;2023-09-01;50675377.0;6453496.0;0;Reutlingen;72770;schmid@smailgmbh.de;;nur_name
BWPOST Böblingen GmbH;B8534_HRB724028;BWPOST-BB;9;7;2026-03-23;29659193.0;276365.0;0;Sindelfingen;71065;m.rupp@bwpost-bb.de;;handelsregister_exakt
CalCon Deutschland AG;D2601V_HRB165752;CALCON;9;4;2023-12-28;24581605.0;3557740.0;1;München;80336;Ausschreibung@calcon.de;;handelsregister_exakt
interface GmbH;D2601V_HRB177325;INTERFACE-AG;9;7;2026-04-27;21751016.0;2509516.0;1;Unterhaching;82008;info@interface-ag.de;http://www.interface-ag.de;handelsregister_exakt
Adiccon GmbH;;ADICCON;9;5;2023-09-11;20000000.0;20000000.0;3;Darmstadt;64293;ingo.beckert@adiccon.de;;nur_name
Research Industrial Systems Engineering (RISE) Forschungs-, Entwicklungs- und Großprojektberatung GmbH;ATU62886416;;9;3;2026-05-27;18955235.0;18955235.0;0;Schwechat;2320;welcome@rise-world.com;https://www.rise-world.com/de;ted_nationalid
Eurofunk Kappacher GmbH;;EUROFUNK;9;6;2023-06-26;18928637.0;2591988.0;0;Ainring;83404;vriederwallner@eurofunk.com;;nur_name
queo GmbH;U1104_HRB22352;QUEO-GROUP;9;6;2025-02-28;17921000.0;8960500.0;0;Dresden;01159;info@queo-group.com;;handelsregister_exakt
Ingenieurgruppe IVV GmbH;F1103R_HRB72712;;9;6;2025-11-04;16032777.0;1860000.0;0;Aachen;52066;ser@ivv-aachen.de;;handelsregister_exakt
Westernacher Solutions AG;B8534_HRB733577;ESTERNACHER;9;7;2026-04-28;15944516.0;2326000.0;0;Berlin;10965;evergabe@westernacher.com;https://westernacher-solutions.com/;handelsregister_exakt
noris network GmbH;D3310V_HRB13944;NORIS;9;6;2026-05-05;15069791.0;15069791.0;1;Nürnberg;90471;vertrieb@noris.de;http://www.noris.de;handelsregister_exakt
G & S IT-Consulting GmbH;M1103_HRB6996;ITCONSULTING;9;5;2023-03-13;11935000.0;11935000.0;0;Ober-Ramstadt;64372;joachim.groh@itconsulting.de;;handelsregister_exakt
VMT Düssel Video-Medien-Technik GmbH;R2503_HRB13664;;9;5;2026-03-24;11343427.0;1609455.0;0;Essen;45356;info@vmt-duessel.de;http://www.vmt-duessel.de;handelsregister_exakt
Horváth & Partner;B8534_HRB13117;HORVATH-PARTNERS;9;4;2026-04-27;8342384.0;4171192.0;0;Stuttgart;70178;ausschreibungen@horvath-partners.com;https://www.horvath-partners.com/de/?hcc=de&r=1;handelsregister_exakt
Erstling;;ERSTLING;9;2;2023-09-18;8000444.0;273466.0;0;Berlin;13053;ausschreibung@erstling.de;;nur_name
BONATHERM - Exothermische Erzeugnisse Gesellschaft mit beschränkter Haftung;R1504_R1506_HRB1072;;9;6;2024-10-25;7800723.0;383193.0;0;Solingen;42653;petra.figge@bong.com;;handelsregister_exakt
Sectra Medical Systems GmbH;R3306_HRB73108;SECTRA;9;5;2025-06-16;7339318.0;2431251.0;0;Köln;50968;info@sectra.com;;handelsregister_exakt
Eos Media Gesellschaft für interaktive Medien mbH;K1101R_HRB60632;;9;5;2026-01-28;7030992.0;158428.0;1;Hamburg;20357;info@eos-uptrade.de;;handelsregister_exakt
City Mail Regensburg GmbH;D3410V_HRB7936;CITY-MAIL;9;8;2026-01-19;6160179.0;767804.0;1;Regensburg;93055;betriebsmanagement@city-mail.de;;handelsregister_exakt
regio iT gesellschaft für informationstechnologie mbh;R3101_HRB552;REGIOIT;9;6;2024-08-26;6036657.0;1489523.0;0;Aachen;52070;thomas.wucherer@regioit.de;;handelsregister_exakt
PRO VIDEO Handelsgesellschaft mbH;R1504_R1506_HRB2416;PROVIDEO;9;7;2026-01-23;5846255.0;372542.0;0;Berlin;13509;info@provideo.eu;https://provideo.eu/;handelsregister_exakt
Planon GmbH;M1201_HRB83375;PLANONSOFTWARE;9;6;2026-06-26;4822759.0;827434.0;0;Frankfurt am Main;60329;joshua.franke@planonsoftware.com;;handelsregister_exakt
Trading Point e.K.;D2601V_HRA88379;TRADING-POINT;9;6;2024-06-27;4445727.0;183617.0;0;Bielefeld;33609;pascal.kemner@trading-point.net;;handelsregister_exakt
NTS Deutschland GmbH;B8537_HRB734475;NTS;9;6;2026-02-18;4421155.0;865785.0;0;Augsburg;86167;andreas.joechl@nts.eu;https://www.nts.eu/de/;handelsregister_exakt
VST Vertriebsgesellschaft für Video-System- und Kommunikationstechnik mbH;Y1206_HRB201619;;9;4;2025-11-26;4316441.0;504480.0;0;Saalfeld/Saale;07318;info@vst-pro.de;https://www.vst-pro.de/;handelsregister_exakt
ITS  Informationstechnik Service GmbH;R2402_HRB12470;ITS-SERVICE;9;6;2025-07-04;3814753.0;591144.0;0;Dortmund;44263;sascha.rommel@lovion.de;;handelsregister_exakt
Cronn GmbH;R3201_HRB20302;CRONN;9;6;2026-03-24;3483215.0;581350.0;1;Bonn;53227;tenders@cronn.de;http://www.cronn.de;handelsregister_exakt
fpi fuchs Ingenieure GmbH & Co. KG;R3306_HRA33575;FPI-INGENIEURE;9;4;2025-08-27;3363025.0;640000.0;0;Köln;50678;a.mueller@fpi-ingenieure.de;;handelsregister_exakt
Microstaxx GmbH;DE129416366;MICROSTAXX;9;3;2026-01-31;3200000.0;3200000.0;0;München;81543;ausschreibung@microstaxx.de;http://www.microstaxx.de/;ted_nationalid
ISO Public Services GmbH;;;9;4;2023-09-01;3100040.0;3100040.0;0;Nürnberg;90491;ipu.tenders.admin@iso-gruppe.com;;nur_name
SOENNECKEN eG;R3306_GnR790;SOENNECKEN;9;6;2025-10-17;3088058.0;1200000.0;0;Vilkerath;51491;info@soennecken.de;http://www.soennecken.de;handelsregister_exakt
mrg computer;;;9;5;2023-11-16;3037524.0;208696.0;0;Potsdam;14469;info@lapstars.de;;nur_name
NTA Systemhaus GmbH & Co. KG;T2304V_HRA41220;NTA;9;7;2025-04-07;2880480.0;348613.0;0;Mainz;55129;info@nta.de;https://nta.de/;handelsregister_exakt
ACTICO GmbH;B8537_HRB731152;ACTICO;9;6;2026-01-12;2862440.0;455000.0;0;Friedrichshafen;88045;RESPOVVVV@rentenbank.de;http://www.actico.com;handelsregister_exakt
Graitec Innovation GmbH;R2503_HRB24953;GRAITEC;9;4;2025-06-10;2824656.0;302463.0;0;Hannover;30159;info.germany@graitec.com;http://www.graitec.de;handelsregister_exakt
SYSTEMA e.V.;D2102V_VR2689;;9;6;2025-02-14;2726608.0;575000.0;0;Potsdam;14482;nuremberg.vergabe.ps@roedl.com;;handelsregister_exakt
PSI Transcom GmbH;F1103R_HRB17761;PSITRANSCOM;9;7;2026-01-23;2598000.0;2598000.0;0;Berlin;10178;info@psitranscom.de;www.psitranscom.de;handelsregister_exakt
optimal systems Vertriebsgesellschaft mbH Konstanz;B1204_HRB381305;OPTIMAL-SYSTEMS;9;8;2026-03-30;2570167.0;659221.0;0;Hannover;30179;hannover@optimal-systems.de;http://www.optimal-systems.de;handelsregister_exakt
Cristie Data GmbH;D4102V_HRB9393;CRISTIE;9;6;2024-10-21;2542885.0;389725.0;0;Niedernberg;63843;reinhard.tillmann@cristie.de;;handelsregister_exakt
Bechtle GmbH IT-Systemhaus Dortmund;;BECHTLE;9;5;2024-11-26;2458350.0;214280.0;0;Dortmund;44263;michael.budde@bechtle.com;;nur_name
Büro-Mayer GmbH & Co. KG;D4201V_HRA8767;BUEROMAYER;9;4;2023-08-24;2409694.0;285233.0;0;Hallstadt;96103;einkauf@bueromayer.de;;handelsregister_exakt
Genua GmbH;R2707_HRB15491;GENUA;9;5;2025-05-12;2287807.0;423922.0;1;Kirchheim bei München;85551;info@genua.de;;handelsregister_exakt
CANCOM Public GmbH;DE183447190;CANCOM;9;3;2026-05-25;2277013.0;1138507.0;0;Berlin;10587;mb.ausschreibungen@cancom.de;http://www.cancom.de;ted_nationalid
